,Number,Na2O,K2O,Al2O3,SiO2,CaO,MgO,Fe2O3,S,PPP,P2O5,Albit,GidroSl,Mont,Clay,Q,Dolomit,Calcit,Carb,Pyrit,Siderit,UV,Kerogen,OV,Appatit,well,field
0,1.006,1.32,1.53,8.82,71.37,1.07,1.01,1.91,1.83,10.28,0.12,11.168903225806451,17.0,7.7419354838709715,24.74193548387097,51.83932258064516,0.8477312628405237,1.449031849992859,2.2967631128333825,2.8735900104058274,0.0,0.441,5.961849270758258,6.402849270758258,0.0,104р,Н.Табаганское
1,1.057,1.24,1.67,9.41,63.11,1.46,0.96,2.59,2.91,15.69,0.16,10.491999999999999,18.555555555555554,9.016666666666675,27.57222222222223,42.67116666666667,0.18726403823177912,2.5034433199803225,2.6907073582121015,4.201246117084827,0.0,0.0,11.79079469440332,11.79079469440332,0.0,104р,Н.Табаганское
2,1.128,0.84,1.13,5.99,53.23,3.1,0.74,2.01,4.4,27.61,0.25,7.107483870967742,12.555555555555554,4.206989247311834,16.76254480286739,40.360553763440855,0.8293355983054207,5.081174645601101,5.910510243906522,3.4694035919374113,0.0,9.687000000000001,16.864675647270257,26.551675647270258,0.0,104р,Н.Табаганское
3,1.196,1.18,1.6,8.75,59.94,0.87,0.98,2.24,3.13,20.24,0.22,9.984322580645161,17.77777777777778,7.376881720430109,25.154659498207888,41.04809139784946,0.6475109913403352,1.2008570071571236,1.8483679984974588,3.554500443211162,0.0,1.3969999999999998,17.050369926939876,18.447369926939874,0.0,104р,Н.Табаганское
4,2.017,1.06,1.49,8.05,59.25,0.91,0.88,2.06,3.29,21.83,0.25,8.968967741935485,16.555555555555554,6.697311827956996,23.25286738351255,41.97094086021505,0.480009308916696,1.3631564456051821,1.8431657545218783,3.2608513893706403,0.0,4.254,16.223177621166272,20.477177621166273,0.0,104р,Н.Табаганское
5,2.067,1.19,1.67,8.81,59.05,0.74,1.02,2.54,3.41,20.54,0.16,10.068935483870966,18.555555555555554,6.427956989247322,24.983512544802878,40.222215053763435,0.8566420899407361,0.8553711525077142,1.7120132424484504,4.193370640151078,0.0,0.0,18.089168569135218,18.089168569135218,0.0,104р,Н.Табаганское
6,2.096,1.39,2.08,10.75,54.31,1.48,1.5,4.06,4.07,19.2,0.24,11.761193548387096,23.11111111111111,7.649462365591402,30.76057347670251,31.577688172043008,2.171836435811462,1.4618210424417193,3.6336574782531814,7.164365976798859,0.0,0.0,14.193728803009565,14.193728803009565,0.0,104р,Н.Табаганское
7,2.132,0.9,1.38,7.18,58.09,7.43,0.88,2.02,2.57,18.56,0.25,7.615161290322581,15.333333333333332,5.496774193548388,20.83010752688172,42.92212903225806,0.8495352953209354,12.796287840144728,13.645823135465664,3.2883320615100016,0.0,0.4480000000000004,13.641253406983205,14.089253406983206,0.0,104р,Н.Табаганское
8,3.018,0.97,1.43,7.41,57.27,3.18,0.88,2.26,3.34,22.23,0.2,8.207451612903226,15.888888888888888,5.2376344086021565,21.126523297491044,41.568827956989246,0.8043251480088103,5.237496457711307,6.041821605720117,3.7838511581300347,0.0,1.0530000000000002,19.454027734316657,20.507027734316658,0.0,104р,Н.Табаганское
9,3.056,1.08,1.62,8.31,57.99,3.94,1.05,2.41,2.77,19.59,0.41,9.138193548387097,18.0,5.666129032258071,23.66612903225807,40.44885483870967,1.1948435123669248,6.381585256371018,7.576428768737943,3.973712452306626,0.0,0.0,15.790709856555331,15.790709856555331,0.0,104р,Н.Табаганское
10,3.078,0.97,1.48,7.56,56.61,4.03,0.89,2.04,2.94,22.29,0.34,8.207451612903226,16.444444444444443,5.154301075268819,21.598745519713262,40.69299462365591,0.7780573417410045,6.768422383637233,7.546479725378238,3.2833553397309907,0.0,2.3819999999999992,17.259374452955406,19.641374452955404,0.0,104р,Н.Табаганское
11,3.144,0.97,1.58,7.79,53.67,6.88,1.18,2.44,3.06,21.25,0.31,8.207451612903226,17.555555555555557,4.6376344086021515,22.19318996415771,37.49982795698925,2.0143389335064663,11.182611363888832,13.196950297395297,4.102288434115698,0.0,1.158,17.78189679392128,18.93989679392128,0.0,104р,Н.Табаганское
12,4.018,1.16,1.76,9.11,57.79,2.67,1.1,2.5,2.86,19.75,0.32,9.815096774193547,19.555555555555554,6.6747311827957,26.230286738351253,38.5458440860215,1.0325352567808352,4.203614506040593,5.236149762821428,4.042795891625237,0.0,0.8439999999999998,15.469086836687124,16.313086836687123,0.0,104р,Н.Табаганское
13,4.045,1.27,2.11,10.1,56.8,1.19,1.2,3.07,3.0,20.07,0.17,10.74583870967742,23.444444444444443,4.88655913978495,28.331003584229393,36.019704301075265,1.1696963929430106,1.4883734150383474,2.658069807981358,5.123339384129187,0.0,1.3049999999999997,15.187187515589454,16.492187515589453,0.0,104р,Н.Табаганское
14,4.091,1.27,1.93,9.8,52.46,4.11,1.45,3.45,3.32,20.57,0.53,10.74583870967742,21.444444444444443,6.3865591397849535,27.831003584229396,31.844704301075268,2.3898783615120758,6.036203902071872,8.426082263583947,5.9929092766023055,0.0,0.872999999999999,15.171435818333633,16.044435818333632,0.0,104р,Н.Табаганское
